Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
118,16,0,19,0,13,46,21,45,23,3091,3279
119,16,0,26,0,15,65,22,51,24,3028,3253
120,13,0,20,0,14,48,21,47,22,3070,3260
121,14,0,19,0,13,51,22,47,187,4175,4530
122,20,0,19,1,17,59,24,48,27,3139,3362
123,15,0,20,0,13,48,19,48,23,3384,3574
124,13,1,18,0,12,53,25,46,21,3051,3243
125,15,1,19,0,14,56,22,44,24,3128,3326
126,14,0,19,0,15,57,44,52,23,2951,3182
127,21,0,21,0,18,66,22,43,21,2978,3193
128,13,0,18,0,15,58,24,42,20,3054,3248
129,12,0,17,0,13,43,24,44,20,3115,3292
130,20,0,24,0,14,64,22,45,43,3346,3582
131,17,0,18,0,16,84,29,47,32,3919,4180
132,17,0,20,0,18,73,32,67,29,4021,4283
133,18,0,27,0,18,79,24,52,94,3175,3492
134,14,0,18,0,16,62,29,45,144,4228,4564
135,15,0,18,0,13,61,22,47,91,3071,3342
136,14,0,20,0,15,66,23,44,125,3272,3581
137,18,0,22,0,15,57,26,46,95,3167,3450
138,18,0,26,0,13,62,26,49,120,2974,3291
139,14,0,19,0,12,62,25,48,93,3005,3281
140,15,0,18,0,12,60,24,45,93,3054,3325
141,17,0,22,0,12,64,21,47,139,2915,3241
142,15,0,20,0,12,62,23,46,109,3116,3405
143,14,0,18,0,13,57,21,48,100,3209,3486
144,13,0,17,0,12,56,22,48,76,3022,3268
145,13,0,18,0,12,63,21,50,104,2999,3289
146,21,0,21,0,11,63,23,47,93,2947,3231
147,15,0,18,0,12,62,25,51,92,3068,3347
148,14,0,18,0,13,58,27,49,96,3165,3447
149,15,0,18,0,13,65,21,48,111,3056,3349
150,13,0,17,0,13,64,22,48,89,3103,3371
151,19,0,19,0,17,61,22,53,79,3598,3872
152,21,0,23,0,89,113,37,94,86,4367,4839
153,15,0,18,0,12,61,32,60,136,3161,3505
154,13,0,19,0,11,59,24,51,100,3041,3327
155,22,0,55,0,92,75,27,64,113,3762,4220
156,17,0,20,0,14,74,24,61,121,3737,4073
157,19,0,22,0,19,79,26,64,105,3988,4331
158,15,0,18,0,17,63,23,52,98,3045,3336
159,18,0,25,0,16,143,22,55,96,3177,3559
160,14,1,18,0,14,67,21,53,93,3072,3354
161,21,0,18,0,15,69,24,54,93,3003,3298
162,14,0,16,0,12,66,25,55,96,3405,3698
163,14,0,17,0,22,67,24,54,89,3087,3379
164,13,0,18,0,15,66,25,55,18,3495,3713
165,13,0,17,0,16,70,24,57,85,3008,3295
166,16,0,20,0,14,69,27,61,86,3076,3378
167,16,0,20,0,13,75,25,56,87,3278,3575
168,27,0,22,0,16,85,24,53,96,3125,3464
169,18,0,19,0,13,73,24,54,107,3110,3424
170,28,0,30,0,16,109,23,56,135,3013,3413
171,16,1,17,0,15,72,48,59,29,3158,3465
172,14,0,19,0,13,72,24,55,121,3108,3431
173,14,0,17,0,13,66,23,59,111,3014,3322
174,15,0,20,0,19,70,23,62,89,3033,3337
175,15,1,20,0,14,70,75,60,23,3023,3315
176,18,0,18,0,15,70,26,61,100,3058,3370
177,13,0,18,0,15,70,25,59,82,3021,3307
178,16,0,19,0,16,64,23,59,91,3184,3477
179,16,0,19,0,14,67,82,60,23,3280,3564
180,16,0,22,0,15,73,24,64,119,3352,3686
181,16,0,22,0,14,86,32,67,104,3527,3875
182,17,1,24,1,18,92,37,87,89,3518,3890
183,14,0,17,0,13,71,27,60,25,3217,3482
184,14,0,19,0,17,78,27,68,20,3004,3276
185,16,0,18,0,13,148,83,61,21,3019,3386
186,15,1,20,0,13,67,79,64,21,3013,3298
187,14,0,18,0,15,70,23,64,24,3033,3288
188,15,0,19,0,15,72,24,65,25,3027,3286
189,17,0,18,0,17,76,44,75,31,3195,3481
190,14,0,19,0,15,72,55,66,21,2966,3257
191,18,0,20,0,14,72,99,68,21,3090,3406
192,14,0,17,0,14,75,90,66,23,3035,3339
193,15,1,21,0,16,68,36,63,21,3013,3304
194,21,0,22,0,15,79,76,64,22,2975,3280
195,15,0,20,0,17,68,78,64,21,3143,3430
196,16,0,19,0,14,72,45,75,23,3133,3404
197,17,0,20,0,10,80,78,67,24,3103,3403
198,16,0,17,0,14,75,94,101,22,3054,3399
199,15,0,19,0,16,78,88,66,21,3085,3390
200,16,1,17,0,18,89,107,83,24,3050,3412
201,14,0,17,0,12,78,77,68,28,3680,3979
202,16,0,17,0,16,84,83,67,20,3013,3320
203,14,0,16,0,14,78,96,70,23,3041,3359
204,16,0,22,0,14,76,77,69,23,3049,3350
205,16,0,18,0,12,75,78,73,25,3127,3430
206,17,0,21,0,17,78,95,84,24,3577,3926
207,18,0,21,0,27,98,91,81,42,3855,4240
208,17,0,20,0,12,87,76,76,22,3215,3532
209,19,0,19,0,14,90,78,76,20,3077,3399
210,16,1,18,0,14,81,43,71,22,3092,3398
211,14,1,20,0,16,78,73,72,23,3468,3768
212,23,0,21,0,16,78,36,72,28,3222,3504
213,14,0,20,0,14,85,78,72,23,3182,3491
214,15,0,21,0,14,76,81,72,24,3338,3644
215,24,0,26,0,13,92,78,75,32,3464,3817
216,14,0,18,0,27,87,79,79,19,3028,3354
217,15,0,22,0,14,83,74,75,20,3076,3381
218,14,0,17,0,15,82,84,80,18,3102,3415
219,16,0,18,0,14,85,75,73,18,3099,3402
220,14,0,18,0,15,83,92,78,19,3047,3367
221,14,1,17,0,15,88,80,74,20,3266,3579
