Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time,Participant Reputation,Reputation x
67,16,0,21,0,26,26,21,51,9,2649,2821,-0.6878939988284737,-1.6978939988284736
68,13,0,24,0,13,25,26,45,10,2666,2830,-0.6878939988284737,-1.6978939988284736
69,10,0,18,0,16,27,26,47,6,2631,2782,-0.6878939988284737,-1.6978939988284736
70,11,0,18,0,12,24,26,48,10,2711,2863,-0.6878939988284737,-1.6978939988284736
71,9,1,18,0,17,30,20,47,10,2771,2928,-0.6878939988284737,-1.6978939988284736
72,10,0,18,0,17,26,30,49,6,2637,2800,-0.6878939988284737,-1.6978939988284736
73,12,0,18,0,18,28,27,48,7,2617,2778,-0.6878939988284737,-1.6978939988284736
74,12,0,17,0,15,25,29,54,96,2659,2914,-0.6878939988284737,-1.6978939988284736
75,12,1,18,0,10,25,25,53,8,2679,2838,-0.6878939988284737,-1.6978939988284736
76,10,0,28,0,15,30,27,101,9,2663,2887,-0.6878939988284737,-1.6978939988284736
77,10,0,16,0,14,28,23,86,6,2649,2839,-0.6878939988284737,-1.6978939988284736
78,10,0,18,0,14,26,25,86,6,2768,2962,-0.6878939988284737,-1.6978939988284736
79,10,0,16,0,17,29,33,54,7,2779,2951,-0.6878939988284737,-1.6978939988284736
80,12,0,17,0,17,30,33,53,9,2731,2906,-0.6878939988284737,-1.6978939988284736
81,10,0,16,0,20,31,39,79,8,3896,4101,-0.6878939988284737,-1.6978939988284736
82,15,0,24,0,16,33,28,57,9,3648,3836,-0.6878939988284737,-1.6978939988284736
83,15,0,21,0,11,31,30,56,18,3529,3718,-0.6878939988284737,-1.6978939988284736
84,20,0,22,0,15,40,22,57,5,2640,2825,-0.6878939988284737,-1.6978939988284736
85,11,0,21,0,17,37,33,57,6,2698,2884,-0.6878939988284737,-1.6978939988284736
86,10,0,17,0,18,32,34,60,6,2699,2880,-0.6878939988284737,-1.6978939988284736
87,11,0,16,0,17,31,50,78,5,2647,2856,-0.6878939988284737,-1.6978939988284736
88,10,0,20,0,16,35,24,55,5,2855,3023,-0.6878939988284737,-1.6978939988284736
89,11,1,23,0,18,32,30,58,4,2875,3054,-0.6878939988284737,-1.6978939988284736
90,10,0,16,0,14,33,25,59,5,2885,3050,-0.6878939988284737,-1.6978939988284736
91,10,0,16,0,17,33,56,138,6,2688,2965,-0.6878939988284737,-1.6978939988284736
92,10,0,17,0,16,37,107,89,6,2675,2962,-0.6878939988284737,-1.6978939988284736
93,10,0,16,0,17,33,31,86,5,2690,2889,-0.6878939988284737,-1.6978939988284736
94,14,0,24,0,16,36,24,61,6,2764,2952,-0.6878939988284737,-1.6978939988284736
95,10,0,16,0,14,82,22,66,8,2698,2920,-0.6878939988284737,-1.6978939988284736
96,10,1,16,0,15,34,37,86,6,2853,3061,-0.6878939988284737,-1.6978939988284736
97,10,0,15,0,17,34,22,72,8,2700,2882,-0.6878939988284737,-1.6978939988284736
98,10,0,19,0,12,34,24,66,8,2785,2967,-0.6878939988284737,-1.6978939988284736
99,11,0,16,0,18,40,29,67,10,2828,3023,-0.6878939988284737,-1.6978939988284736
100,10,0,18,0,19,33,40,93,7,2745,2970,-0.6878939988284737,-1.6978939988284736
